hpi_comp15,hpi_prev_year,residential_property_transactions,private_enterprise_housing_starts,private_enterprise_housing_comp,housing_stock,net_additions_housing_stock,turnover_rate,year,quarter,labour_income,emp_comp,mixed_income,emp_social_cont,nonlabour_inc,net_tax_benefits,disposable_income,living_wage
97.20247255333337,3.7760126517170978,294.88,37150.9207001533,43623.179014682406,27036.3237609936,65.12115968159924,1.090680828528305,2008,1,NA,NA,NA,NA,NA,NA,NA,NA
95.07949923333332,-0.6256786167408324,259.33000000000004,32463.6318467225,40065.582966967304,27101.44492067531,65.1211596817011,0.9568862500100904,2008,2,NA,NA,NA,NA,NA,NA,NA,NA
90.24034637666668,-7.223981359788045,187.81,20528.0209347883,38606.5789815469,27153.83207783,52.3871571546988,0.6916519166123121,2008,3,NA,NA,NA,NA,NA,NA,NA,NA
85.28118906333333,-13.321832185089066,174.9,18385.5735595111,33670.83059601579,27206.2192349848,52.38715715480066,0.6428677152431898,2008,4,NA,NA,NA,NA,NA,NA,NA,NA
82.11729215666665,-15.519338140693606,170.84,16843.1961175968,32796.389566354796,27258.6063921395,52.3871571546988,0.6267378366388706,2009,1,NA,NA,NA,NA,NA,NA,NA,NA
81.97926547333333,-13.778189689294518,193.27,19039.8646812253,30522.8022175569,27310.9935492943,52.38715715480066,0.7076637459240072,2009,2,NA,NA,NA,NA,NA,NA,NA,NA
84.09743835,-6.8072744324649825,223.68,24764.9331196724,29052.710611442508,27355.6625084025,44.66895910819949,0.8176734887385564,2009,3,NA,NA,NA,NA,NA,NA,NA,NA
86.84295775666668,1.8313167422812529,259.75,25139.789347242804,29445.9949820387,27400.3314675108,44.66895910830135,0.9479812326649826,2009,4,NA,NA,NA,NA,NA,NA,NA,NA
88.43270355333334,7.690720469225765,216.23,26920.8521929431,27204.67086892271,27445.000426619,44.66895910819949,0.7878666301286619,2010,1,NA,NA,NA,NA,NA,NA,NA,NA
88.78882792666667,8.30644482359797,230.19,28612.249783567,26561.2922345576,27489.6693857273,44.66895910829771,0.8373691104466874,2010,2,NA,NA,NA,NA,NA,NA,NA,NA
88.88977902,5.698557249811875,226.9,26406.8589916601,27201.345648690396,27530.72684165551,41.057455928203126,0.8241700311983329,2010,3,NA,NA,NA,NA,NA,NA,NA,NA
88.12279512000002,1.4737376482724551,210.74,23474.796181713595,24614.350606705,27571.7842975837,41.05745592819949,0.7643321075106067,2010,4,NA,NA,NA,NA,NA,NA,NA,NA
87.69693655000002,-0.832007813590796,208.63,26048.96295103851,25712.2882763251,27612.8417535119,41.05745592819949,0.7555542521206304,2011,1,NA,NA,NA,NA,NA,NA,NA,NA
87.23003651333335,-1.755616612735078,216.58999999999992,26373.8892642824,27118.5315147864,27653.8992094401,41.05745592819949,0.7832168561823045,2011,2,NA,NA,NA,NA,NA,NA,NA,NA
87.12081095999999,-1.990069138997419,227.58,27080.525243964,25760.42389626539,27693.9724926702,40.07328323010007,0.8217672638341571,2011,3,NA,NA,NA,NA,NA,NA,NA,NA
87.06160552666665,-1.2042169019812698,229.89,28373.9046574347,26790.595755035494,27734.0457759004,40.073283230198285,0.8289089945894723,2011,4,NA,NA,NA,NA,NA,NA,NA,NA
87.26946899666666,-0.48743726993204506,241.84,25436.9329384913,29393.3537812379,27774.11905913049,40.07328323010007,0.8707386883635371,2012,1,195.664,208.422,25.432,38.19,67.008,16.691,279.363,NA
87.73943956,0.5839766518827227,225.82,23384.98116394639,26524.7898989995,27814.1923423607,40.07328323020193,0.8118876766954641,2012,2,197.381,209.809,26.16,38.588,68.102,18.18,283.663,NA
87.58161912666665,0.5289300703114952,228.31,25047.6638937992,25833.56757186791,27853.7258383987,39.5334960379987,0.8196749021104226,2012,3,197.027,210.105,25.815,38.893,67.516,17.545,282.088,NA
87.89062284666666,0.9522191958039272,235.27,26067.5450787853,26181.989288417797,27893.2593344367,39.53349603800233,0.8434654307664158,2012,4,198.268,211.284,25.618,38.634,66.521,19.033,283.822,NA
88.39251968666667,1.2868769604211794,239.08,26788.152793488996,24505.0814031884,27932.792830474795,39.53349603809693,0.8559115497364902,2013,1,199.28,212.054,25.781,38.555,66.441,18.453,284.174,NA
89.1268975,1.5813389588056337,259.76,29905.9097953639,27035.9601543334,27972.3263265128,39.53349603800233,0.9286320950495762,2013,2,206.305,219.247,26.427,39.369,70.01,16.025,292.34,NA
90.14886808999998,2.931264560912483,274.05,31462.209450217,27461.500003011,28016.5940628939,44.267736381098075,0.978170292166102,2013,3,208.076,219.741,27.139,38.804,71.305,19.032,298.413,NA
91.80250630666669,4.450854179091057,294.04,30818.030064276,27492.15856167191,28060.8617992751,44.26773638119994,1.0478651799910008,2013,4,212.111,221.554,28.857,38.3,70.501,18.267,300.879,NA
94.06260597333336,6.414667560972309,311.1400000000001,36315.579054586,28173.464612242493,28105.1295356563,44.26773638119994,1.1070576977959283,2014,1,214.698,223.811,29.054,38.167,69.594,17.229,301.521,NA
96.39154239333334,8.150900678813988,311.61,34165.4703805121,29041.5282572958,28149.3972720374,44.26773638110171,1.1069864018351192,2014,2,214.587,222.997,29.03,37.44,72.656,17.081,304.324,NA
98.20880295333332,8.940694469160416,304.0900000000001,32989.51373369561,28757.5371285268,28202.0029718298,52.60569979239881,1.078256747592528,2014,3,213.924,222.544,28.525,37.145,73.314,16.594,303.832,NA
99.56637897333331,8.457146737074272,296.2899999999999,31666.1586119404,28858.6061029396,28254.6086716221,52.605699792300584,1.048643084898156,2014,4,216.006,225.036,28.529,37.559,74.514,16.756,307.276,NA
100.4062972,6.744115965131869,287.35,38863.282214413804,32242.738393612995,28307.2143714144,52.605699792300584,1.0151122474635863,2015,1,218.861,228.249,28.821,38.209,77.882,15.094,311.837,NA
101.48587643333332,5.285042560282038,304.64,35443.7618733121,33289.85386141251,28359.8200712067,52.605699792300584,1.074195813778439,2015,2,221.247,229.85,30.327,38.93,82.6,15.875,319.722,NA
103.59384813333334,5.483261192541855,314.89,35030.31425505151,34038.2942898579,28418.5085799215,58.688508714800264,1.1080454806923925,2015,3,225.061,232.586,31.568,39.093,85.203,16.965,327.229,NA
106.0413415,6.503161602774421,319.06,35965.71119375989,34315.9100082209,28477.1970886363,58.688508714800264,1.1204052105511448,2015,4,225.944,233.746,31.472,39.274,84.451,17.027,327.422,NA
108.32251846666668,7.884188031452166,385.89,35475.7964045288,33709.0278202294,28535.88559735111,58.688508714800264,1.3522972633301449,2016,1,227.905,236.189,31.167,39.451,82.774,15.751,326.43,NA
109.63509386666668,8.029902997080217,265.73,37938.3622431922,34292.1702332427,28594.57410606589,58.688508714796626,0.9293021781486492,2016,2,230.176,240.309,31.689,41.822,83.256,14.952,328.384,NA
110.56167903333332,6.726104904445518,289.8,39812.91946157858,37779.8087955881,28659.39242531569,64.81831924979997,1.0111868238491024,2016,3,231.084,242.265,31.093,42.274,82.739,14.838,328.661,NA
111.71239063333331,5.347960571899502,290.5900000000001,39460.9732114738,33433.737320538,28724.2107445656,64.81831924990183,1.0116552986750993,2016,4,232.247,242.492,32.236,42.481,81.67,13.975,327.892,NA
113.07443483333334,4.386822272904345,306.35,40619.866627162,40088.5073023126,28789.0291,64.8183192,1.0641206375382768,2017,1,236.463,246.327,33.029,42.893,81.353,10.184,328,NA
114.42667496666668,4.370481139759241,309.75,42110.280735514,40074.7841872908,28853.8474,64.8183192,1.0735136833086598,2017,2,241.106,249.682,34.744,43.32,83.228,13.108,337.442,NA
115.8453963,4.778977049610189,306.65,36707.11387180271,38846.5261873611,28921.1633,67.31595230000002,1.060296215678157,2017,3,242.907,250.719,34.923,42.735,83.802,13.03,339.739,NA
116.8800975,4.6259030331096795,300.39,40799.01968061802,39019.3890271588,28988.4793,67.31595230000002,1.0362392483278693,2017,4,244.673,252.337,35.171,42.835,85.701,11.518,341.892,NA
117.8064517,4.184868908380079,289.99,41106.75611536919,37677.3418601727,29055.7952,67.31595230000002,0.9980453056056784,2018,1,248.655,257.85,35.189,44.384,86.531,12.555,347.741,NA
118.47908766666666,3.54149301391522,302.5,41223.5187573156,41547.9422128416,29123.1112,67.31595230000002,1.0386939703063045,2018,2,248.308,257.394,35.47,44.556,87.036,12.07,347.414,NA
119.28826176666668,2.97194845598423,298.51,42133.4617359576,40501.6205483391,29194.543,71.4318422,1.02248560629978,2018,3,252.129,261.579,35.446,44.896,88.24,10.311,350.68,NA
119.72357213333332,2.432813365280873,298.58,41173.2283020035,41208.64701843498,29265.9749,71.4318422,1.020229126213048,2018,4,255.978,264.746,36.455,45.223,89.461,11.165,356.604,NA
119.60834040000002,1.5295331231846454,291.25,39424.1338514468,41860.375715339294,29337.4067,71.4318422,0.9927598678992986,2019,1,257.509,267.757,36.818,47.066,90.36,8.31,356.179,NA
119.6167012,0.960180868824656,297.01,38287.67189319529,44564.464802600494,29408.8386,71.4318422,1.0099344759571702,2019,2,261.813,272.748,37.627,48.562,90.971,10.802,363.586,NA
120.20824716666668,0.7712287750487379,294.17,39439.6225179001,44869.177569298896,29488.8386,80,0.9975638715049294,2019,3,260.937,273.37,37.385,49.818,92.278,12.019,365.234,NA
120.37625503333334,0.5451582243746866,294.11,34658.88103238651,40942.4065894382,29568.8386,80,0.9946619952803964,2019,4,262.274,273.207,38.341,49.274,93.323,12.366,367.963,NA
121.5011939,1.5825430682089747,284.66,35058.1762398119,38404.213595867106,29628.8386,60,0.9607531494670198,2020,1,263.239,274.248,37.992,49.001,87.371,11.503,362.113,8.72
121.14795576666668,1.2801344221208932,156.06,15757.7733332579,16600.5870416217,29673.6086,44.7700664,0.5259218792823196,2020,2,254.956,266.092,37.366,48.502,81.676,19.572,356.204,8.72
123.2432365,2.52477629852248,248.8,34308.20973931109,42661.255299506905,29742.6086,69,0.8365103523569215,2020,3,260.834,273.594,38.25,51.01,85.174,21.288,367.296,8.72
127.54735066666667,5.957234365986541,346.75,40798.2180378944,42434.050217780095,29802.6086,60,1.1634887558131404,2020,4,267.859,280.761,38.919,51.821,84.812,15.582,368.253,8.72
131.5279472,8.252390761075468,436.03,46104.5419386465,46658.352314357806,29862.6086,60,1.4601202655818888,2021,1,268.801,280.418,39.115,50.732,90.799,14.119,373.719,8.91
133.13636336666664,9.895674693091694,447.42,42358.8666974247,43044.9208462201,29930.0809,67.472256,1.4948840315363132,2021,2,276.503,288.402,39.946,51.845,89.14,9.934,375.577,8.91
134.3484271466667,9.010791149311226,332.84,40839.340399137094,41722.556793637006,30000.5395,70.4585995,1.1094467151165732,2021,3,279.081,291.974,39.249,52.142,90.169,8.942,378.192,8.91
138.09120597333333,8.266620397488357,267.39,39711.793205329,37741.829772957695,30070.9981,70.4585995,0.8891956266659469,2021,4,282.67,295.098,39.031,51.459,92.108,5.953,380.731,8.91
143.06020360333335,8.767913320959476,329.68,43261.627649074806,43042.356269652504,30141.4567,70.4585995,1.0937759355207275,2022,1,289.614,303.337,40.067,53.79,95.718,3.064,388.396,9.5
146.40084859666666,9.963082132166036,322.73,48327.25927247311,45385.3435414668,30215.3197,73.8629833,1.0681005635694134,2022,2,291.253,307.376,39.546,55.669,99.1025,4.5255,394.881,9.5
149.39839973,11.202194847360158,307.49,40235.6766885193,42524.8362930246,30284.5273,69.2076126,1.0153369638363152,2022,3,296.42,312.85,40.119,56.549,98.2805,7.6595,402.36,9.5
150.38366178333334,8.901693430336021,305.42,35539.84251213459,41569.888877881895,30352.1807,67.6534706,1.0062538933158105,2022,4,302.824,318.844,40.757,56.777,110.6395,4.9765,418.44,9.5
148.49439786333335,3.7985366461993353,272.96,35758.42873583339,36513.830990542105,30411.6057,59.4249217,0.8975520815725951,2023,1,308.907,323.836,41.492,56.421,117.1765,-2.1755,423.908,10.42
147.79407,0.951648447866349,250.11,55669.5759288396,37657.446128230295,30472.8918,61.2861134,0.82076227501323,2023,2,315.019,329.962,42.023,56.966,111.2561696,12.1168304,438.392,10.42
148.6247739,-0.5178273873067685,256.03,22848.8020579841,38553.03244008811,30535.6354,62.7436473,0.8384629847918604,2023,3,320.702,334.897,43.083,57.278,114.0461696,8.319830399999999,443.068,10.42
