id,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000356,10751,20-29 years,NA,NA,freehold
20220000378,24700,30+ years,NA,NA,freehold
20220000385,9209,30+ years,NA,NA,freehold
20220000387,28501,30+ years,NA,NA,freehold
20220000392,17178.75,5-9 years,70.29585798816566,NA,NA
20220000402,100000,two years,NA,576.9230769230769,freehold
20220000404,22100,10-19 years,85,NA,NA
20220000409,57226.55,3-4 years,159.23076923076923,NA,NA
20220000410,8644.48,one year,80.76923076923077,NA,NA
20220000412,8387.88,5-9 years,184.6153846153846,NA,NA
20220000413,27300,20-29 years,54,0.02307692307692308,leasehold
20220000416,14310,30+ years,83,NA,NA
20220000417,50812.5,3-4 years,NA,92.3076923076923,freehold
20220000419,25637.5,5-9 years,NA,138.46153846153845,leasehold
20220000421,38201.544,5-9 years,NA,175.1134621309988,freehold
20220000423,18468.32,less than 1 year,143.07692307692307,NA,NA
20220000425,8965.2024,3-4 years,130,NA,NA
20220000426,7902,10-19 years,104.3076923076923,NA,NA
20220000431,49500,5-9 years,118.84615384615384,NA,NA
20220000434,10730.56,20-29 years,NA,152.95356371974268,freehold
20220000435,17219.8,3-4 years,NA,351.9034902997449,freehold
20220000437,47714.8,less than 1 year,NA,110.76923076923077,freehold
20220000448,56052.5,5-9 years,NA,138.92307692307693,leasehold
20220000451,18275,3-4 years,67.01183431952663,NA,NA
20220000453,22484,30+ years,NA,NA,freehold
20220000454,100000,20-29 years,NA,392.3076923076923,freehold
20220000455,24965,20-29 years,NA,NA,freehold
20220000456,91683.5,30+ years,NA,NA,freehold
20220000461,53306.05,3-4 years,NA,NA,freehold
20220000465,69226.4456,30+ years,NA,NA,freehold
20220000470,66875,less than 1 year,288.46153846153845,NA,NA
20220000474,36400,5-9 years,NA,87.6923076923077,freehold
20220000475,29975,two years,161.53846153846155,NA,NA
20220000477,28780,two years,76.68639053254438,NA,NA
20220000480,76299.8,10-19 years,NA,NA,freehold
20220000481,100000,30+ years,NA,NA,freehold
20220000490,15803,30+ years,NA,NA,freehold
20220000492,100000,10-19 years,NA,242.30769230769232,freehold
20220000493,44255,10-19 years,NA,NA,freehold
20220000494,33545,3-4 years,NA,NA,freehold
20220000495,13520,two years,67.3076923076923,NA,NA
20220000497,59722.5,5-9 years,NA,NA,freehold
20220000499,32114.16,10-19 years,0,NA,NA
20220000503,19662.8,5-9 years,150,NA,NA
20220000504,5564,10-19 years,103.84615384615384,NA,NA
20220000510,6118.92,less than 1 year,130.3846153846154,NA,NA
20220000523,47075,30+ years,NA,NA,leasehold
20220000526,44200,5-9 years,NA,NA,freehold
20220000527,33100,20-29 years,111.23076923076923,NA,NA
20220000528,51284.1496,two years,NA,728.855901817436,leasehold
20220000531,100000,10-19 years,NA,2121.2640089703737,freehold
20220000532,15709.2,one year,87.5,NA,NA
20220000533,82691,20-29 years,NA,NA,freehold
20220000536,24795.8,less than 1 year,150,NA,NA
20220000543,19240,3-4 years,196.15384615384616,NA,NA
20220000547,22302,20-29 years,103.84615384615384,NA,NA
20220000552,37447.5,20-29 years,NA,NA,freehold
20220000554,6245,one year,NA,161.53846153846155,freehold
20220000563,27825,30+ years,NA,NA,freehold
20220000566,28094,30+ years,161.53846153846155,NA,NA
20220000568,83875,less than 1 year,160.3846153846154,NA,NA
20220000570,26107,30+ years,NA,NA,freehold
20220000573,30057.5,10-19 years,NA,115.38461538461539,freehold
20220000574,9209,10-19 years,70,NA,NA
20220000575,57798,30+ years,NA,NA,freehold
20220000580,16260.9763,5-9 years,NA,132.0469285775744,freehold
20220000582,91075,less than 1 year,NA,NA,leasehold
20220000584,61111.9388,two years,NA,461.53846153846155,freehold
20220000589,63707.647622000004,5-9 years,NA,NA,freehold
20220000590,15754,3-4 years,92.53846153846153,NA,NA
20220000601,70200,two years,NA,184.6153846153846,freehold
20220000608,62328.03,5-9 years,NA,253.84615384615384,freehold
20220000612,20075,10-19 years,NA,NA,freehold
20220000617,22120,30+ years,NA,NA,freehold
20220000621,10642,30+ years,159,NA,NA
20220000624,29392.5,10-19 years,NA,891.8933288631465,freehold
20220000629,18917.5,10-19 years,70,NA,NA
20220000630,99000,10-19 years,NA,150,freehold
20220000631,32958.7962,one year,300,NA,NA
20220000633,48922.5,20-29 years,NA,NA,freehold
20220000638,10133,less than 1 year,0.019230769230769232,NA,NA
20220000639,9209,10-19 years,82,NA,NA
20220000642,32632.76,5-9 years,98.07692307692308,NA,NA
20220000645,75918.75,20-29 years,NA,300,freehold
20220000646,42902.1168,less than 1 year,182.19257749999997,0.02307692307692308,freehold
20220000647,46395,3-4 years,NA,NA,freehold
20220000651,3898.08,one year,106.15384615384616,NA,NA
20220000652,30085,less than 1 year,NA,NA,freehold
20220000653,47476,30+ years,NA,NA,freehold
20220000655,64691,30+ years,NA,NA,freehold
20220000663,31355,5-9 years,NA,NA,freehold
20220000664,18725,5-9 years,NA,NA,freehold
20220000666,27777.36,10-19 years,102,NA,NA
20220000669,53175,two years,168.46153846153845,NA,NA
20220000674,26863.25,3-4 years,NA,120,leasehold
20220000676,11173.08,10-19 years,NA,80.76923076923077,freehold
20220000679,78517.5,20-29 years,NA,96,freehold
20220000681,92853.66,10-19 years,NA,111.92307692307692,freehold
20220000686,60386.5,two years,NA,152.30769230769232,freehold
20220000688,76238.88,20-29 years,NA,110.76923076923077,freehold
20220000695,30050,one year,103.75,NA,NA
20220000707,32240,3-4 years,73.84615384615384,NA,NA
20220000711,37564,5-9 years,NA,NA,freehold
20220000714,18074.5,30+ years,NA,NA,freehold
20220000718,56427.8,5-9 years,NA,198.69230769230768,freehold
20220000719,26410,5-9 years,NA,NA,freehold
20220000721,68095,30+ years,NA,NA,freehold
20220000724,58374.8,10-19 years,NA,220.0782142959573,freehold
20220000725,3898.08,20-29 years,NA,NA,freehold
20220000727,24737.5,one year,NA,92.3076923076923,freehold
20220000735,24912.5,10-19 years,NA,65.53846153846153,leasehold
20220000741,37939,30+ years,NA,NA,freehold
20220000750,9209,10-19 years,NA,NA,freehold
20220000753,81737.5,5-9 years,173.07692307692307,NA,NA
20220000757,37669.64,less than 1 year,346.15384615384613,NA,NA
20220000758,17235,30+ years,NA,NA,freehold
20220000762,31042.25,3-4 years,196.15384615384616,NA,NA
20220000763,45500,one year,276.9230769230769,NA,NA
