id,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220004683,9597.64,3-4 years,97.61538461538461,NA,NA
20220004686,48591.5,less than 1 year,161.53846153846155,NA,NA
20220004687,15029.039999999999,5-9 years,92.34615384615384,NA,NA
20220004689,22475,3-4 years,109.61538461538461,NA,NA
20220004699,59237.3,5-9 years,NA,91.61538461538461,freehold
20220004702,41050,10-19 years,NA,94.61538461538461,freehold
20220004703,86115.81220000001,5-9 years,360,NA,NA
20220004705,24123,30+ years,NA,NA,freehold
20220004707,49537.8,10-19 years,NA,138.46153846153845,freehold
20220004710,13344.5,3-4 years,81,NA,NA
20220004713,41379.8,two years,NA,140.07692307692307,freehold
20220004716,32156.735399999998,5-9 years,97.63313609467455,NA,NA
20220004717,75312.5,20-29 years,NA,NA,freehold
20220004720,61908.25,20-29 years,NA,115.38461538461539,freehold
20220004724,9209,30+ years,NA,NA,freehold
20220004726,44755,10-19 years,NA,NA,freehold
20220004732,43921.8168,20-29 years,114.23076923076923,NA,NA
20220004734,24759.8,two years,NA,NA,freehold
20220004735,63917.6,3-4 years,46.15384615384615,NA,NA
20220004736,49562.8,5-9 years,NA,81.46153846153847,freehold
20220004741,46667.36,less than 1 year,207.69230769230768,NA,NA
20220004742,14040,5-9 years,121.15384615384616,NA,NA
20220004748,11125.8,one year,115,NA,NA
20220004752,14056,30+ years,109,NA,NA
20220004756,46307.5,20-29 years,NA,NA,freehold
20220004761,14642.5,5-9 years,99.46153846153847,NA,NA
20220004762,99040,5-9 years,198.46153846153845,NA,NA
20220004766,19194.05,3-4 years,NA,62.30769230769231,freehold
20220004768,42707.8,3-4 years,81.23076923076923,NA,NA
20220004770,9209,5-9 years,NA,NA,leasehold
20220004772,49400,two years,NA,103.84615384615384,freehold
20220004774,73437.5,5-9 years,NA,207.69230769230768,freehold
20220004777,13000.88,two years,118.84615384615384,NA,NA
20220004783,100000,30+ years,NA,NA,freehold
20220004786,27162.8,10-19 years,100.15384615384616,NA,NA
20220004790,89109.079944,10-19 years,NA,NA,freehold
20220004793,57599.8,two years,NA,180.23076923076923,freehold
20220004795,22238,5-9 years,121,NA,NA
20220004806,66852,20-29 years,NA,NA,leasehold
20220004811,100000,20-29 years,NA,NA,freehold
20220004816,26411.664389,30+ years,NA,NA,freehold
20220004817,13677.5,10-19 years,NA,NA,freehold
20220004818,12295,5-9 years,103,NA,NA
20220004820,35212.5,10-19 years,213.46153846153845,NA,NA
20220004821,28867.8,3-4 years,150,NA,NA
20220004822,71412.5,10-19 years,NA,230.76923076923077,freehold
20220004827,19258.75,less than 1 year,276.9230769230769,NA,NA
20220004830,11830,20-29 years,NA,NA,leasehold
20220004832,34120,two years,159.23076923076923,NA,NA
20220004835,27690,20-29 years,97,NA,NA
20220004836,14664,5-9 years,84,NA,NA
20220004842,46462,10-19 years,NA,NA,freehold
20220004846,12709,5-9 years,96,NA,NA
20220004853,100000,two years,415.38461538461536,NA,NA
20220004856,13081,5-9 years,83.07692307692307,NA,NA
20220004858,93843.75,5-9 years,NA,259.84615384615387,freehold
20220004860,12240,two years,76.92307692307692,NA,NA
20220004865,31123.8,10-19 years,92.3076923076923,NA,NA
20220004866,39007.8,5-9 years,181.15384615384616,NA,NA
20220004869,100000,10-19 years,116,NA,NA
20220004870,31166.154589,10-19 years,137,NA,NA
20220004876,100000,10-19 years,NA,230.76923076923077,freehold
20220004877,36199.8,5-9 years,NA,143.07692307692307,freehold
20220004885,7800,5-9 years,138.46153846153845,NA,NA
20220004887,29644,5-9 years,123.6923076923077,NA,NA
20220004891,13037.5,10-19 years,222.30769230769232,NA,NA
20220004893,46800,less than 1 year,184.6153846153846,NA,NA
20220004896,9209,5-9 years,NA,NA,leasehold
20220004902,9209,10-19 years,69.23076923076923,NA,NA
20220004906,29679.8,two years,138.46153846153845,NA,NA
20220004909,28975,two years,NA,NA,freehold
20220004911,59402.8,3-4 years,NA,126.92307692307692,freehold
20220004919,39112,20-29 years,NA,NA,freehold
20220004920,7288.079999999999,5-9 years,87.6923076923077,NA,NA
20220004922,55320.0152,two years,NA,193.84615384615384,leasehold
20220004926,100000,5-9 years,NA,415.38461538461536,freehold
20220004929,25194,5-9 years,NA,NA,freehold
20220004937,18920,two years,NA,NA,freehold
20220004938,56679.8,3-4 years,NA,NA,freehold
20220004939,100000,one year,NA,454.4161439322925,freehold
20220004941,36305.28,less than 1 year,203.76298083433448,NA,NA
20220004946,37748.58,two years,NA,138.46153846153845,leasehold
20220004954,77503.6756,20-29 years,NA,85.38461538461539,freehold
20220004959,68888,10-19 years,126.92307692307692,NA,NA
20220004967,23686.55,5-9 years,109,NA,NA
20220004971,45875,3-4 years,NA,115.38461538461539,freehold
20220004973,9061.68,30+ years,103,NA,NA
20220004975,41795,3-4 years,NA,NA,freehold
20220004976,14195,one year,334.61538461538464,NA,NA
20220004980,6633,3-4 years,87.6923076923077,NA,NA
20220004988,81187.5,10-19 years,NA,126.92307692307692,freehold
20220004992,11180,two years,82.6923076923077,NA,NA
20220004996,47327.8,10-19 years,NA,104.53846153846153,freehold
20220005001,8387.88,less than 1 year,109,NA,NA
20220005002,27300,20-29 years,69.00887573964498,NA,NA
20220005004,34436.5,30+ years,NA,NA,freehold
20220005008,77501.5,10-19 years,NA,NA,freehold
20220005022,75029.56470588235,two years,NA,218.76923076923077,freehold
20220005026,15992,3-4 years,120,NA,NA
20220005031,27675,3-4 years,0,NA,NA
20220005036,38025,30+ years,NA,NA,freehold
20220005038,13260,3-4 years,100,NA,NA
20220005039,18730,5-9 years,115.70517530774406,NA,NA
20220005045,37354.5,30+ years,NA,NA,freehold
20220005054,9627.5,one year,300,NA,NA
20220005059,69027.8,10-19 years,50,103.38461538461539,leasehold
20220005063,36407.5,30+ years,NA,NA,freehold
20220005064,11800.359999999999,less than 1 year,NA,NA,freehold
20220005065,100000,10-19 years,NA,207.69230769230768,freehold
20220005066,19227.5,20-29 years,NA,NA,freehold
20220005069,22880,10-19 years,NA,161.53846153846155,freehold
20220005072,20168,30+ years,NA,NA,freehold
20220005074,12248.2,20-29 years,96,NA,NA
20220005075,11830,30+ years,NA,NA,freehold
20220005079,68250,5-9 years,NA,46.15384615384615,freehold
20220005084,23732.8,10-19 years,107.07692307692308,NA,NA
20220005085,49927.8,5-9 years,NA,166.6153846153846,freehold
20220005088,52835,20-29 years,NA,NA,freehold
20220005090,29647.8,two years,130,NA,NA
20220005093,18772.557,5-9 years,NA,34.42307692307692,freehold
20220005094,54600,less than 1 year,NA,108,freehold
20220005096,29640,one year,92.3076923076923,NA,NA
20220005098,38955,20-29 years,NA,NA,freehold
20220005104,61627.8,less than 1 year,334.61538461538464,NA,NA
20220005106,33300,10-19 years,121.15384615384616,NA,NA
20220005107,70337.5,3-4 years,276.9230769230769,NA,NA
20220005108,11830,30+ years,NA,NA,freehold
20220005113,15975,10-19 years,111.92307692307692,NA,NA
20220005115,24960,30+ years,NA,NA,freehold
20220005121,78815,20-29 years,NA,NA,freehold
20220005122,3898.08,less than 1 year,50.76923076923077,NA,NA
20220005125,51227.5,3-4 years,NA,NA,freehold
20220005129,49550,20-29 years,161.53846153846155,NA,NA
20220005130,31543,30+ years,NA,NA,freehold
20220005132,31923,20-29 years,NA,NA,freehold
20220005135,95312.5,less than 1 year,160.3846153846154,NA,NA
20220005137,69475,two years,NA,NA,freehold
20220005139,38171,30+ years,NA,NA,freehold
20220005142,100000,one year,80.76923076923077,324,leasehold
20220005145,31409.5,10-19 years,NA,NA,freehold
20220005147,30432.5,30+ years,NA,NA,freehold
20220005150,25075,10-19 years,103.15384615384616,NA,NA
20220005151,5739.03,less than 1 year,101.53846153846153,NA,NA
20220005154,22306.25,two years,NA,71.07692307692308,leasehold
20220005159,7288.079999999999,5-9 years,79,NA,NA
20220005160,99247.56,3-4 years,600,NA,NA
20220005163,44265,less than 1 year,NA,NA,freehold
20220005164,3898.08,20-29 years,156.92307692307693,NA,NA
20220005165,27862.154589,30+ years,NA,NA,freehold
20220005166,43635.8,5-9 years,80.76923076923077,NA,NA
20220005178,60767.9966,20-29 years,NA,92.3076923076923,freehold
20220005180,40209,30+ years,NA,NA,freehold
20220005182,56982.229999999996,10-19 years,NA,126.92307692307692,freehold
20220005183,24295.2,5-9 years,129.69230769230768,NA,NA
20220005190,11335,30+ years,NA,NA,freehold
20220005199,38955,30+ years,NA,NA,freehold
20220005200,44869.16,20-29 years,NA,53.79689682790069,freehold
20220005201,23667.8,3-4 years,161.53846153846155,NA,NA
20220005203,88970.85,one year,NA,230.76923076923077,freehold
20220005206,80242.5,10-19 years,NA,NA,freehold
20220005210,27056,20-29 years,129.23076923076923,NA,NA
20220005213,36578,20-29 years,NA,NA,freehold
20220005214,41347.5,20-29 years,NA,NA,freehold
20220005219,60938,20-29 years,91.34615384615384,NA,NA
20220005220,39780,less than 1 year,NA,NA,freehold
20220005221,39887.8,10-19 years,129.23076923076923,NA,NA
20220005225,7800,5-9 years,NA,133.0250539744453,freehold
20220005229,44032.443,one year,NA,323.0769230769231,freehold
20220005232,6812,10-19 years,82.5,NA,NA
20220005240,52387.5,30+ years,NA,NA,freehold
20220005241,41149.5,30+ years,115.38461538461539,NA,NA
20220005243,33102.5,30+ years,NA,NA,freehold
20220005244,12228.8,3-4 years,123,NA,NA
20220005246,26705,10-19 years,NA,NA,leasehold
20220005248,62500,two years,206.53846153846155,NA,NA
20220005249,15641.04,5-9 years,156,NA,NA
20220005251,9209,30+ years,NA,NA,freehold
20220005252,45341.25,30+ years,NA,NA,freehold
20220005255,31572.5,two years,184.6153846153846,NA,NA
20220005257,77388,10-19 years,NA,154.05475000717013,freehold
20220005258,19874,20-29 years,96,NA,NA
20220005260,27099.8,3-4 years,96,NA,NA
20220005261,16907.8,5-9 years,92,NA,NA
20220005262,61527.8,less than 1 year,144.46153846153845,172.3846153846154,leasehold
20220005264,9501,5-9 years,76.92307692307692,NA,NA
20220005270,9227,10-19 years,NA,NA,freehold
20220005271,11830,20-29 years,51.46153846153846,NA,NA
20220005272,51454.206399999995,5-9 years,112,NA,NA
20220005273,10152.5,20-29 years,NA,NA,freehold
20220005276,22386.0636,20-29 years,NA,NA,freehold
20220005277,100000,3-4 years,NA,300,freehold
20220005278,26690,3-4 years,NA,NA,freehold
20220005279,69537.5,two years,NA,103.84615384615384,leasehold
20220005280,20838.68,10-19 years,272.3076923076923,NA,NA
20220005282,46027.8,two years,80.76923076923077,90.20540036458198,leasehold
20220005292,30050,10-19 years,161.53846153846155,NA,NA
20220005293,52706.25,two years,156.92307692307693,NA,NA
20220005294,69136.5,10-19 years,100.61538461538461,NA,NA
20220005295,49404.950000000004,3-4 years,357.6923076923077,NA,NA
20220005297,22590,5-9 years,122.3076923076923,NA,NA
20220005298,4938.12,10-19 years,80.76923076923077,NA,NA
20220005300,36810,30+ years,NA,NA,freehold
20220005303,20056.5,10-19 years,NA,NA,freehold
20220005307,34840,30+ years,NA,NA,freehold
20220005308,9512.84,less than 1 year,90,NA,NA
20220005312,18174,10-19 years,113.07692307692308,NA,NA
20220005317,23557.5,20-29 years,NA,NA,freehold
20220005321,33075,one year,NA,NA,freehold
20220005323,75835.9522,10-19 years,NA,NA,freehold
20220005327,40359.8,10-19 years,NA,96.66263109631133,freehold
20220005328,52575,less than 1 year,NA,136.3846153846154,leasehold
20220005332,10642,5-9 years,126.92307692307692,NA,NA
20220005336,51232.5,one year,NA,NA,freehold
20220005337,87072.5,10-19 years,NA,53.07692307692308,freehold
20220005341,9209,30+ years,NA,NA,freehold
20220005342,25495,20-29 years,NA,NA,freehold
20220005345,14056,5-9 years,NA,NA,leasehold
20220005346,27300.480000000003,3-4 years,230.76923076923077,NA,NA
20220005357,22237.8,10-19 years,NA,92.3076923076923,leasehold
20220005359,19553.84,3-4 years,190.3846153846154,NA,NA
20220005360,13238.5,5-9 years,126.92307692307692,NA,NA
20220005363,100000,20-29 years,NA,70.84615384615384,freehold
20220005367,3898.08,20-29 years,115.38461538461539,NA,NA
20220005369,65996.6052,20-29 years,NA,126.92307692307692,leasehold
20220005372,11544,5-9 years,101,NA,NA
20220005377,88810,20-29 years,NA,NA,freehold
20220005385,36927.8,3-4 years,253.84615384615384,NA,NA
20220005389,16120,20-29 years,NA,418.8281277428107,freehold
20220005393,47645.48,one year,346.15384615384613,NA,NA
20220005398,32390,less than 1 year,123.46153846153847,NA,NA
20220005404,13018.75,one year,126.92307692307692,NA,NA
20220005411,67975,3-4 years,69.23076923076923,161.53846153846155,freehold
20220005412,12795,5-9 years,NA,NA,leasehold
20220005413,11068,10-19 years,NA,NA,leasehold
20220005414,16715.5,30+ years,NA,NA,freehold
20220005418,37495,30+ years,NA,NA,leasehold
20220005425,84886.8,5-9 years,235.45420488075536,NA,NA
20220005427,18500,20-29 years,NA,93,freehold
20220005439,14056,30+ years,90,NA,NA
20220005442,100000,20-29 years,NA,NA,freehold
20220005443,12613.7952,10-19 years,93,NA,NA
20220005446,58097.5,20-29 years,NA,NA,freehold
20220005450,55255.623439999996,30+ years,NA,NA,freehold
20220005451,82604.04000000001,5-9 years,NA,430.4729871628925,freehold
20220005452,29497.03,one year,237.5,NA,NA
20220005455,24700,two years,92.08016160861601,NA,NA
20220005457,27175,30+ years,108,NA,NA
20220005461,28655,30+ years,NA,NA,freehold
20220005469,98667.48520319999,3-4 years,NA,92.3076923076923,freehold
20220005470,80600,5-9 years,NA,94.15384615384616,leasehold
20220005471,100000,5-9 years,NA,196.15384615384616,freehold
20220005473,18257,20-29 years,NA,NA,freehold
20220005475,68647.5,5-9 years,NA,NA,freehold
20220005476,12760,30+ years,NA,NA,freehold
20220005479,38955,5-9 years,NA,NA,leasehold
20220005483,25225,20-29 years,93,NA,NA
20220005493,35316,less than 1 year,127.00961538461539,NA,NA
20220005497,21217.5,30+ years,NA,NA,leasehold
20220005499,5980,two years,73,NA,NA
20220005506,6812,10-19 years,73,NA,NA
20220005509,23938.75,30+ years,NA,NA,freehold
20220005510,35695,3-4 years,131.53846153846155,NA,NA
20220005514,12637.5,30+ years,138.46153846153845,NA,NA
20220005516,32157.399999999998,5-9 years,106.75708265697925,NA,NA
20220005517,33155,20-29 years,NA,NA,freehold
20220005522,52706.25,two years,196.15384615384616,NA,NA
20220005528,9219.6,20-29 years,70,NA,NA
20220005529,14056,10-19 years,57.23076923076923,NA,NA
20220005532,30306.9966,20-29 years,127.25,NA,NA
20220005537,24116.559999999998,one year,184.6153846153846,NA,NA
20220005546,9100,10-19 years,NA,NA,freehold
20220005547,37225,10-19 years,NA,NA,freehold
20220005550,22100,5-9 years,86.91124260355029,NA,NA
20220005553,22935,30+ years,NA,NA,freehold
20220005554,31535,5-9 years,87.92307692307692,NA,NA
20220005558,20101.8,30+ years,NA,NA,freehold
20220005560,100000,5-9 years,NA,133.84615384615384,freehold
20220005566,44203.65844,30+ years,NA,NA,freehold
20220005567,16380,20-29 years,136,NA,NA
20220005571,29658.75,20-29 years,NA,NA,leasehold
20220005576,64112,20-29 years,NA,NA,freehold
20220005578,10600.68,less than 1 year,108.23076923076923,NA,NA
20220005579,100000,3-4 years,NA,572.0593619950697,freehold
20220005580,10400,10-19 years,NA,NA,freehold
20220005582,36662.5,5-9 years,NA,NA,freehold
20220005583,9209,10-19 years,89.5576923076923,NA,NA
20220005584,19106.76,10-19 years,100,NA,NA
20220005586,14056,20-29 years,98.75,NA,NA
20220005587,100000,5-9 years,NA,300,freehold
20220005589,3898.08,one year,90,NA,NA
20220005600,9880,5-9 years,166.15384615384616,NA,NA
20220005604,98449.6439766,5-9 years,NA,NA,freehold
20220005605,37615,5-9 years,NA,NA,freehold
20220005608,66150.774,20-29 years,NA,61.69576322550089,freehold
20220005611,20982,10-19 years,NA,NA,freehold
20220005615,56184.91,less than 1 year,NA,NA,freehold
20220005618,17139,one year,72,NA,NA
20220005619,58367.8,5-9 years,NA,206.53846153846155,freehold
20220005620,40951.5,10-19 years,NA,203.07692307692307,freehold
20220005624,17535,10-19 years,184.6153846153846,NA,NA
20220005626,4938.12,less than 1 year,110,NA,NA
20220005627,54473.1798,one year,807.6923076923077,NA,NA
20220005641,20486.25,10-19 years,NA,NA,freehold
20220005644,97000,10-19 years,NA,NA,freehold
20220005645,28664.8,5-9 years,NA,71.07692307692308,freehold
20220005648,60000,5-9 years,NA,118.15384615384616,freehold
20220005654,20820.3,5-9 years,NA,179.30769230769232,freehold
20220005655,26969.8,3-4 years,92,NA,NA
20220005660,13591.8,10-19 years,84,NA,NA
20220005662,76537.5,3-4 years,226.15384615384616,NA,NA
20220005663,27090,20-29 years,103,NA,NA
20220005667,55425,less than 1 year,230.76923076923077,NA,NA
20220005668,84255.81,one year,184.6153846153846,NA,NA
20220005673,69007.56,one year,NA,276.9230769230769,freehold
20220005675,58256.66,two years,NA,161.53846153846155,freehold
20220005676,13952.5,10-19 years,92.3076923076923,NA,NA
20220005678,34231.76470588235,less than 1 year,NA,150,freehold
20220005683,87642.9966,3-4 years,NA,NA,freehold
20220005697,80675,10-19 years,115.38461538461539,NA,NA
20220005700,81402.5,10-19 years,NA,346.15384615384613,freehold
20220005703,16120,less than 1 year,86.53846153846153,NA,NA
20220005704,29975,10-19 years,92.53846153846153,NA,NA
20220005706,57412.5,3-4 years,NA,184.6153846153846,leasehold
20220005707,38605,3-4 years,NA,NA,freehold
20220005713,15603,20-29 years,NA,NA,freehold
20220005715,100000,20-29 years,NA,NA,freehold
20220005716,53300,30+ years,NA,NA,freehold
20220005717,100000,20-29 years,NA,NA,freehold
20220005719,48684.70588235294,5-9 years,NA,NA,freehold
20220005722,20780,10-19 years,80.76923076923077,NA,NA
20220005724,23158.75,20-29 years,115.38461538461539,NA,NA
20220005725,91337.35,5-9 years,NA,192.5,leasehold
20220005728,25575,30+ years,NA,NA,freehold
20220005732,26637.5,5-9 years,NA,NA,leasehold
20220005733,55755,10-19 years,NA,173.07692307692307,freehold
20220005736,76872.5,20-29 years,NA,NA,freehold
20220005740,34385,3-4 years,NA,NA,freehold
20220005741,20855,30+ years,NA,NA,freehold
20220005742,17178.75,10-19 years,83,NA,NA
20220005744,29646.72,5-9 years,106.06508875739645,NA,NA
20220005751,24302.5,3-4 years,173.07692307692307,NA,NA
20220005754,26450.84,3-4 years,231.9230769230769,NA,NA
20220005756,44500,two years,NA,253.84615384615384,freehold
20220005757,18159.96,3-4 years,126.92307692307692,NA,NA
20220005760,61112.5,two years,NA,140.76923076923077,freehold
20220005762,59051.16,one year,NA,243.0959094570938,freehold
20220005763,14435.5,30+ years,NA,NA,freehold
20220005775,100000,5-9 years,143.07692307692307,NA,NA
20220005779,51740,one year,173.07692307692307,NA,NA
20220005781,20267.5,one year,117.0620866174316,NA,NA
20220005782,31259.8,3-4 years,84.31952662721893,NA,NA
20220005790,61766.41,5-9 years,NA,211.275085724119,freehold
20220005792,50961,3-4 years,329.6712259999439,NA,NA
20220005793,29347.8,5-9 years,288.46153846153845,NA,NA
20220005794,78832.66,10-19 years,124,NA,NA
20220005796,19507.8,two years,NA,156.46153846153845,freehold
20220005797,9209,30+ years,NA,10.48429709030964,freehold
20220005800,47586.765999999996,less than 1 year,138.46153846153845,NA,NA
20220005803,17940,10-19 years,NA,NA,freehold
20220005804,70863.5,5-9 years,NA,NA,freehold
20220005808,14056,20-29 years,NA,NA,freehold
20220005809,23325.5,10-19 years,80,NA,NA
20220005817,17555,3-4 years,100,NA,NA
20220005819,35286,30+ years,93,NA,NA
20220005821,9209,30+ years,108,NA,NA
20220005823,52446.9106,3-4 years,300,NA,NA
20220005824,29900,20-29 years,NA,150,freehold
20220005826,20280,30+ years,NA,NA,freehold
20220005827,42435,3-4 years,NA,NA,freehold
20220005830,100000,20-29 years,NA,96.5282712861895,freehold
20220005831,45011.7463,10-19 years,162.6384169698253,NA,NA
20220005832,18300.977753,5-9 years,146.07692307692307,NA,NA
20220005833,11252,30+ years,73.81296,NA,NA
20220005834,25293,3-4 years,173.07692307692307,NA,NA
20220005837,44465,20-29 years,NA,NA,freehold
20220005842,9360,20-29 years,NA,29.53846153846154,freehold
20220005845,21876.68,5-9 years,139.3846153846154,NA,NA
20220005849,14056,30+ years,NA,NA,freehold
20220005850,27409,30+ years,NA,NA,freehold
20220005852,22367.5,20-29 years,NA,NA,freehold
20220005868,48100,30+ years,84.6923076923077,NA,NA
20220005870,20077,30+ years,NA,NA,freehold
20220005872,58875,5-9 years,NA,253.84615384615384,freehold
20220005873,21588.399999999998,3-4 years,132.69230769230768,NA,NA
20220005874,9209,10-19 years,NA,NA,freehold
20220005877,15243.8,3-4 years,88,NA,NA
20220005878,5382,5-9 years,81,NA,NA
20220005881,49400,10-19 years,NA,154.6153846153846,freehold
20220005882,39575,5-9 years,NA,NA,freehold
20220005883,100000,5-9 years,NA,782.500317496737,freehold
20220005884,43371,10-19 years,NA,NA,freehold
20220005886,39821.813599999994,20-29 years,NA,109.08054425904515,freehold
20220005888,100000,10-19 years,NA,NA,freehold
20220005890,100000,3-4 years,NA,145.15384615384616,freehold
20220005894,13379.8,3-4 years,184.6153846153846,NA,NA
20220005895,22484,30+ years,NA,NA,freehold
20220005898,3898.08,10-19 years,160,NA,NA
20220005899,77765.3,10-19 years,NA,175.3846153846154,freehold
20220005900,13000,10-19 years,126.92307692307692,NA,NA
20220005904,47437.5,10-19 years,NA,146.71880953063823,leasehold
20220005905,59832.49,20-29 years,NA,NA,freehold
20220005910,9501,less than 1 year,67,NA,NA
20220005911,14832.5,30+ years,NA,NA,freehold
20220005912,17060.800000000003,10-19 years,92,NA,NA
20220005913,93890.15599999999,20-29 years,NA,NA,freehold
20220005916,28838.45,20-29 years,NA,71.07692307692308,leasehold
20220005917,26835,10-19 years,NA,NA,freehold
20220005919,53675,two years,NA,124.61538461538461,freehold
20220005926,41331.95,less than 1 year,196.15384615384616,NA,NA
20220005932,13372.5,10-19 years,118.62226503111991,NA,NA
20220005934,9209,10-19 years,100.75,NA,NA
20220005935,37129.566399999996,20-29 years,NA,NA,leasehold
20220005936,81740,5-9 years,NA,110.76923076923077,freehold
20220005944,22484,5-9 years,NA,NA,freehold
20220005946,46015,10-19 years,NA,NA,freehold
20220005961,31477.48,3-4 years,NA,NA,freehold
20220005964,29439.8,3-4 years,107.3076923076923,NA,NA
20220005969,35315.8,10-19 years,155.44230769230768,NA,NA
20220005975,58437.3,10-19 years,NA,138.46153846153845,freehold
20220005976,39155,two years,NA,NA,freehold
20220005978,15715,30+ years,NA,NA,freehold
20220005982,52212.52,20-29 years,NA,NA,freehold
20220005989,50277.8,3-4 years,NA,138.46153846153845,freehold
20220005992,40359.8,5-9 years,92.3076923076923,189.23076923076923,leasehold
20220005993,57312.5,one year,NA,98.07692307692308,freehold
20220005995,55407.8,two years,253.84615384615384,NA,NA
20220005997,65206.25,3-4 years,NA,182.30769230769232,freehold
20220006000,18200,20-29 years,80.76923076923077,NA,NA
20220006005,38471.8,3-4 years,NA,369.7314000172083,freehold
20220006007,15803,20-29 years,NA,NA,freehold
20220006008,76052.5,5-9 years,NA,NA,freehold
20220006009,42077.3363,one year,121.38461538461539,NA,NA
20220006011,34877.5,two years,124.61538461538461,NA,NA
20220006013,46129.28,two years,284.93022224708665,NA,NA
20220006015,9501,10-19 years,180,NA,NA
20220006022,45500,30+ years,114.42307692307692,NA,NA
20220006024,47714.8,5-9 years,NA,132.88461538461536,freehold
20220006027,6812,20-29 years,100,NA,NA
20220006030,9209,30+ years,NA,NA,freehold
20220006031,100000,less than 1 year,215.76923076923077,NA,NA
20220006032,31955,30+ years,NA,NA,freehold
20220006038,22484,20-29 years,92.3076923076923,NA,NA
20220006041,67750,one year,NA,93.82648152869903,freehold
20220006048,79750,5-9 years,NA,191.53846153846155,freehold
20220006050,89107.5686,20-29 years,NA,NA,freehold
20220006051,53069.274399999995,3-4 years,NA,NA,freehold
20220006052,37396.25,10-19 years,NA,NA,freehold
20220006057,29918.75,30+ years,NA,NA,freehold
20220006058,44590,10-19 years,161.53846153846155,NA,NA
20220006059,57515,20-29 years,NA,NA,freehold
20220006061,28323.75,one year,NA,175.3846153846154,freehold
20220006063,69435,10-19 years,NA,70.42502857470633,freehold
20220006070,12400,3-4 years,65,NA,NA
20220006073,13221,two years,90,NA,NA
20220006075,26679,30+ years,NA,NA,freehold
20220006081,15124.68,one year,114.23076923076923,NA,NA
20220006082,16465.28,two years,97.09615384615384,NA,NA
20220006083,85625,3-4 years,207.69230769230768,NA,NA
20220006085,36700,one year,126.92307692307692,NA,NA
20220006090,13186.45,10-19 years,NA,NA,freehold
20220006091,29775,10-19 years,NA,NA,freehold
20220006093,20540,20-29 years,NA,121.34603113784307,freehold
20220006097,19097.5,30+ years,NA,NA,freehold
20220006098,11700,5-9 years,104,NA,NA
20220006109,59612.3,10-19 years,NA,NA,freehold
20220006112,13328,3-4 years,85,NA,NA
20220006120,70705.0442,20-29 years,NA,115.38461538461539,freehold
20220006121,55423.89,10-19 years,114.92307692307692,NA,NA
20220006123,17368,10-19 years,0,NA,NA
20220006126,81406.25,10-19 years,NA,NA,freehold
20220006130,9209,20-29 years,NA,NA,freehold
20220006131,18200,less than 1 year,NA,86.53846153846153,freehold
20220006134,10132.2,one year,167.30769230769232,NA,NA
20220006139,100000,two years,300,NA,NA
20220006141,55702.8,10-19 years,NA,101.53846153846153,freehold
20220006143,61675,two years,NA,NA,freehold
20220006145,33599.8,5-9 years,NA,115.38461538461539,freehold
20220006149,35826.25,5-9 years,NA,95.76923076923077,freehold
20220006151,45800,two years,178.84615384615384,NA,NA
20220006154,42380,5-9 years,113,NA,NA
20220006157,53040,20-29 years,115.38461538461539,NA,NA
20220006158,58757.93000000001,10-19 years,91.61538461538461,NA,NA
20220006160,49854.1108,less than 1 year,115.38461538461539,NA,NA
20220006161,21840,20-29 years,115.38461538461539,NA,NA
20220006164,49352.44,one year,62.5,107.98076923076923,freehold
20220006166,88311.89,one year,NA,166.15384615384616,leasehold
20220006168,77075.4008,10-19 years,NA,NA,freehold
20220006169,19237.5,10-19 years,122.07692307692308,NA,NA
20220006175,80915,10-19 years,NA,NA,leasehold
20220006176,32035,5-9 years,NA,NA,freehold
20220006180,17837.5,20-29 years,NA,NA,freehold
20220006188,65374.8,10-19 years,NA,129.69230769230768,freehold
20220006190,23173.8,10-19 years,425.11538461538464,NA,NA
20220006192,80648.0188,10-19 years,NA,191.6358199830564,freehold
20220006196,35137.5,two years,NA,80.76923076923077,freehold
20220006208,13018.75,30+ years,109.61538461538461,NA,NA
20220006211,100000,20-29 years,NA,NA,freehold
20220006213,77706.25,3-4 years,NA,207.69230769230768,freehold
20220006219,76755,10-19 years,NA,NA,freehold
20220006220,46915,30+ years,NA,NA,freehold
20220006222,68546.875152,20-29 years,NA,NA,freehold
20220006226,47852.8,3-4 years,NA,158.75,freehold
20220006233,11830,5-9 years,115.38461538461539,NA,NA
20220006234,81866.8,5-9 years,NA,NA,freehold
20220006235,33922,10-19 years,83.65384615384616,NA,NA
20220006238,38955,30+ years,NA,NA,freehold
20220006242,35510,30+ years,NA,NA,freehold
20220006243,93655,less than 1 year,NA,NA,freehold
20220006245,29155.839999999997,20-29 years,137,NA,NA
20220006246,30999.8,5-9 years,168.26923076923077,NA,NA
20220006248,100000,30+ years,NA,NA,freehold
20220006249,41319,5-9 years,NA,NA,freehold
20220006255,17756.5,20-29 years,NA,NA,freehold
20220006257,77455,20-29 years,NA,NA,freehold
20220006258,20809.267999999996,30+ years,NA,173.07692307692307,freehold
20220006260,26690.5,5-9 years,126.92307692307692,NA,NA
20220006263,25730.1,two years,NA,81.23076923076923,freehold
20220006267,29960,30+ years,87.64792899408283,NA,NA
20220006270,23908.48,less than 1 year,201.92307692307693,NA,NA
20220006271,24325,30+ years,NA,NA,freehold
